long,short,spec,is.save,is.series,requires
spectrum.specirr,sp2,spectrum,TRUE,TRUE,
spectrum.specorig,sp0,spectrum,TRUE,TRUE,
spectrum.specresidual,spr,spectrum,TRUE,TRUE,
spectrum.specsa,sp1,spectrum,TRUE,TRUE,
spectrum.specseatsirr,s2s,spectrum,TRUE,TRUE,
spectrum.specseatssa,s1s,spectrum,TRUE,TRUE,
spectrum.spectukeycomposite,it0,spectrum,TRUE,TRUE,
spectrum.spectukeyextresiduals,ter,spectrum,TRUE,TRUE,
spectrum.spectukeyindirr,it2,spectrum,TRUE,TRUE,
spectrum.spectukeyindsa,it1,spectrum,TRUE,TRUE,
spectrum.spectukeyirr,st2,spectrum,TRUE,TRUE,
spectrum.spectukeyorig,st0,spectrum,TRUE,TRUE,
spectrum.spectukeyresidual,str,spectrum,TRUE,TRUE,
spectrum.spectukeysa,st1,spectrum,TRUE,TRUE,
spectrum.spectukeyseatsirr,t2s,spectrum,TRUE,TRUE,
spectrum.spectukeyseatssa,t1s,spectrum,TRUE,TRUE,
spectrum.tukeypeaks,tpk,spectrum,FALSE,FALSE,
transform.aictransform,tac,transform,FALSE,FALSE,
transform.permprior,a2p,transform,TRUE,TRUE,
transform.permprioradjusted,a3p,transform,TRUE,TRUE,
transform.permprioradjustedptd,a4p,transform,TRUE,TRUE,
transform.prior,a2,transform,TRUE,TRUE,
transform.prioradjusted,a3,transform,TRUE,TRUE,
transform.prioradjustedptd,a4d,transform,TRUE,TRUE,
transform.seriesconstant,a1c,transform,TRUE,TRUE,
transform.seriesconstantplot,acp,transform,FALSE,FALSE,
transform.tempprior,a2t,transform,TRUE,TRUE,
transform.transformed,trn,transform,TRUE,TRUE,
x11.adjoriginalc,c1,x11,TRUE,TRUE,
x11.adjoriginald,d1,x11,TRUE,TRUE,
x11.adjustdiff,fad,x11,TRUE,TRUE,
x11.adjustfac,d16,x11,TRUE,TRUE,
x11.adjustfacpct,paf,x11,TRUE,TRUE,
x11.adjustmentratio,e18,x11,TRUE,TRUE,
x11.autosf,asf,x11,FALSE,FALSE,
x11.biasfactor,bcf,x11,TRUE,TRUE,
x11.calendar,d18,x11,TRUE,TRUE,
x11.calendaradjchanges,e8,x11,TRUE,TRUE,
x11.calendaradjchangespct,pe8,x11,TRUE,TRUE,
x11.combholiday,chl,x11,TRUE,TRUE,
x11.extreme,c20,x11,TRUE,TRUE,
x11.extremeb,b20,x11,TRUE,TRUE,
x11.ftestb1,b1f,x11,FALSE,FALSE,
x11.ftestd8,d8f,x11,FALSE,FALSE,
x11.irregular,d13,x11,TRUE,TRUE,
x11.irregularadjao,ira,x11,TRUE,TRUE,
x11.irregularb,b13,x11,TRUE,TRUE,
x11.irregularc,c13,x11,TRUE,TRUE,
x11.irregularpct,pir,x11,TRUE,TRUE,
x11.irregularplot,irp,x11,FALSE,FALSE,
x11.irrwt,c17,x11,TRUE,TRUE,
x11.irrwtb,b17,x11,TRUE,TRUE,
x11.mcdmovavg,f1,x11,TRUE,TRUE,
x11.modirregular,e3,x11,TRUE,TRUE,
x11.modoriginal,e1,x11,TRUE,TRUE,
x11.modseasadj,e2,x11,TRUE,TRUE,
x11.modsic4,c4,x11,TRUE,TRUE,
x11.modsid4,d4,x11,TRUE,TRUE,
x11.movseasrat,d9a,x11,FALSE,FALSE,
x11.origchanges,e5,x11,TRUE,TRUE,
x11.origchangespct,pe5,x11,TRUE,TRUE,
x11.origwsaplot,e0,x11,FALSE,FALSE,
x11.qstat,f3,x11,FALSE,FALSE,
x11.ratioplotorig,ra1,x11,FALSE,FALSE,
x11.ratioplotsa,ra2,x11,FALSE,FALSE,
x11.replacsi,d9,x11,TRUE,TRUE,
x11.replacsib4,b4,x11,FALSE,FALSE,
x11.replacsib9,b9,x11,FALSE,FALSE,
x11.replacsic9,c9,x11,TRUE,TRUE,
x11.residualseasf,rsf,x11,FALSE,FALSE,
x11.robustsa,e11,x11,TRUE,TRUE,
x11.sachanges,e6,x11,TRUE,TRUE,
x11.sachangespct,pe6,x11,TRUE,TRUE,
x11.seasadj,d11,x11,TRUE,TRUE,
x11.seasadjb11,b11,x11,TRUE,TRUE,
x11.seasadjb6,b6,x11,TRUE,TRUE,
x11.seasadjc11,c11,x11,TRUE,TRUE,
x11.seasadjc6,c6,x11,TRUE,TRUE,
x11.seasadjconst,sac,x11,TRUE,TRUE,
x11.seasadjd6,d6,x11,TRUE,TRUE,
x11.seasadjplot,sap,x11,FALSE,FALSE,
x11.seasonal,d10,x11,TRUE,TRUE,
x11.seasonaladjregsea,ars,x11,TRUE,TRUE,
x11.seasonalb10,b10,x11,TRUE,TRUE,
x11.seasonalb5,b5,x11,TRUE,TRUE,
x11.seasonalc10,c10,x11,TRUE,TRUE,
x11.seasonalc5,c5,x11,TRUE,TRUE,
x11.seasonald5,d5,x11,TRUE,TRUE,
x11.seasonaldiff,fsd,x11,TRUE,TRUE,
x11.seasonalpct,psf,x11,TRUE,TRUE,
x11.seasonalplot,sfp,x11,FALSE,FALSE,
x11.sib3,b3,x11,TRUE,TRUE,
x11.sib8,b8,x11,TRUE,TRUE,
x11.tdadjorig,c19,x11,TRUE,TRUE,
x11.tdadjorigb,b19,x11,TRUE,TRUE,
x11.tdaytype,tdy,x11,FALSE,FALSE,
x11.totaladjustment,tad,x11,TRUE,TRUE,
x11.trend,d12,x11,TRUE,TRUE,
x11.trendadjls,tal,x11,TRUE,TRUE,
x11.trendb2,b2,x11,TRUE,TRUE,
x11.trendb7,b7,x11,TRUE,TRUE,
x11.trendc2,c2,x11,TRUE,TRUE,
x11.trendc7,c7,x11,TRUE,TRUE,
x11.trendchanges,e7,x11,TRUE,TRUE,
x11.trendchangespct,pe7,x11,TRUE,TRUE,
x11.trendconst,tac,x11,TRUE,TRUE,
x11.trendd2,d2,x11,TRUE,TRUE,
x11.trendd7,d7,x11,TRUE,TRUE,
x11.trendplot,trp,x11,FALSE,FALSE,
x11.unmodsi,d8,x11,TRUE,TRUE,
x11.unmodsiox,d8b,x11,TRUE,TRUE,
x11.x11diag,f2,x11,FALSE,FALSE,
x11.yrtotals,e4,x11,TRUE,TRUE,
x11regression.calendar,xca,x11regression,TRUE,TRUE,
x11regression.calendarb,bxc,x11regression,TRUE,TRUE,
x11regression.combcalendar,xcc,x11regression,TRUE,TRUE,
x11regression.combcalendarb,bcc,x11regression,TRUE,TRUE,
x11regression.combtradingday,c18,x11regression,TRUE,TRUE,
x11regression.combtradingdayb,b18,x11regression,TRUE,TRUE,
x11regression.extremeval,c14,x11regression,TRUE,TRUE,
x11regression.extremevalb,b14,x11regression,TRUE,TRUE,
x11regression.holiday,xhl,x11regression,TRUE,TRUE,
x11regression.holidayb,bxh,x11regression,TRUE,TRUE,
x11regression.outlierfinaltests,xft,x11regression,FALSE,FALSE,
x11regression.outlierhdr,xoh,x11regression,FALSE,FALSE,
x11regression.outlieriter,xoi,x11regression,TRUE,TRUE,
x11regression.outliertests,xot,x11regression,FALSE,FALSE,
x11regression.priortd,a4,x11regression,TRUE,TRUE,
x11regression.tradingday,c16,x11regression,TRUE,TRUE,
x11regression.tradingdayb,b16,x11regression,TRUE,TRUE,
x11regression.x11reg,c15,x11regression,TRUE,TRUE,
x11regression.x11regb,b15,x11regression,TRUE,TRUE,
x11regression.xaictest,xat,x11regression,FALSE,FALSE,
x11regression.xregressioncmatrix,xrc,x11regression,TRUE,TRUE,
x11regression.xregressionmatrix,xrm,x11regression,TRUE,TRUE,
